BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;INTURG;FFI;INTTOT
Q22;2019;010000024;010780054;24;3;;19;5;15;66
Q22;2019;010000032;010780062;;;;5;;;5
Q22;2019;010000065;010780096;;;;0;;2;2
Q22;2019;010000198;010007987;;;;1;;;1
Q22;2019;010000495;010783009;4;;;;;3;7
Q22;2019;020000089;020000022;0;0;0;1;0;0;1
Q22;2019;020000162;020000063;36;5;0;22;1;22;86
Q22;2019;020000394;020000253;1;0;0;3;0;25;29
Q22;2019;020000519;020000261;4;;;4;;23;31
Q22;2019;020000535;020000287;;;;6;;6;12
Q22;2019;020000543;020000295;2;;;;;;2
Q22;2019;020001061;020004404;;;;;;10;10
Q22;2019;020003877;020000253;0;0;0;0;0;1;1
Q22;2019;020006664;020000063;3;;;;;;3
Q22;2019;030000061;030780092;13;1;0;12;4;19;49
Q22;2019;030000079;030780100;21;;;2;6;15;44
Q22;2019;030000087;030780118;22;2;;18;2;9;53
Q22;2019;030781116;030000426;1;;;;;;1
Q22;2019;030781637;030780100;2;;;;;0;2
Q22;2019;040000093;040780215;0;0;0;10;0;0;10
Q22;2019;040000135;050002948;0;0;0;1;0;0;1
Q22;2019;040000911;040788879;;;;2;;3;5
Q22;2019;050000231;050000116;0;0;0;5;0;1;6
Q22;2019;050000256;050000124;;;;;2;;2
Q22;2019;050000348;050002948;0;1;0;24;0;0;25
Q22;2019;060000304;060780657;;;;1;;;1
Q22;2019;060000478;060780897;0;0;0;25;0;0;25
Q22;2019;060000510;060780954;8;0;0;14;0;1;23
Q22;2019;060000528;060780962;28;2;;;;;30
Q22;2019;060000544;060780988;18;1;;18;2;8;47
Q22;2019;060002102;060791761;;;;11;;2;13
Q22;2019;060010899;060785011;4;0;0;0;0;0;4
Q22;2019;060780145;060000049;;;;1;;;1
Q22;2019;060780186;060006939;1;;;;;;1
Q22;2019;060780558;750720575;;;;2;;;2
Q22;2019;060780947;060800174;41;;;6;;;47
Q22;2019;060780996;630786754;14;;;;;;14
Q22;2019;060785003;060785011;115;2;0;12;16;13;158
Q22;2019;060785227;060780608;1;1;;;;;2
Q22;2019;060788957;060785011;16;0;0;4;0;0;20
Q22;2019;060789195;060785011;81;1;0;8;0;10;100
Q22;2019;060789674;130037815;;;;7;;;7
Q22;2019;060791811;060010808;2;0;0;3;1;0;6
Q22;2019;060794013;060790797;4;;;;;;4
Q22;2019;060800174;;9;;;;;;9
Q22;2019;060800182;060002912;;;;1;;;1
Q22;2019;070000013;070002878;;;;;;4;4
Q22;2019;070000047;070780127;;;;;;1;1
Q22;2019;070000179;070780358;10;3;0;22;0;5;40
Q22;2019;070000195;070780374;;;;1;;;1
Q22;2019;070000484;070005566;0;0;0;0;0;2;2
Q22;2019;070000609;070005566;0;0;0;15;0;18;33
Q22;2019;070006804;070005566;0;0;0;0;0;1;1
Q22;2019;080000110;080000037;;;;4;2;;6
Q22;2019;080000219;080001969;1;;;1;;1;3
Q22;2019;080000250;540019726;3;;;;;;3
Q22;2019;080000318;080000086;4;;;;;2;6
Q22;2019;080000425;080000615;34;0;0;22;4;7;67
Q22;2019;090000175;090781774;11;;;9;;4;24
Q22;2019;090000183;090781816;1;;;5;;;6
Q22;2019;100000090;100000017;43;0;0;11;6;13;73
Q22;2019;100000108;100000033;4;;;1;;;5
Q22;2019;100000199;100006279;;;;6;;;6
Q22;2019;100009364;100000017;0;0;0;1;0;0;1
Q22;2019;100010362;100010347;1;;;1;;;2
Q22;2019;100010933;100010347;1;;;;;;1
Q22;2019;110000023;110780061;12;1;;1;10;9;33
Q22;2019;110000056;110780137;7;4;;17;;;28
Q22;2019;110002953;110780137;1;;;;;;1
Q22;2019;110786324;;0;;;;;2;2
Q22;2019;120000039;120780044;13;0;0;12;0;6;31
Q22;2019;120000054;120780069;0;0;0;2;0;0;2
Q22;2019;120000070;120780085;;;;;2;;2
Q22;2019;120004569;120004528;;;;5;;;5
Q22;2019;120780283;630786754;2;;;;;;2
Q22;2019;130000235;130780554;0;0;0;10;0;0;10
Q22;2019;130000409;130041916;32;3;;21;;8;64
Q22;2019;130000433;130781131;11;1;;;;;12
Q22;2019;130000516;130781339;1;;;3;;1;5
Q22;2019;130000565;130781446;2;3;;18;;5;28
Q22;2019;130001225;130782634;2;1;;17;;6;26
Q22;2019;130001647;130784127;68;7;;;;6;81
Q22;2019;130002215;130785512;;;;10;;1;11
Q22;2019;130002496;130786494;10;;;;;;10
Q22;2019;130002827;130789274;0;1;0;8;0;12;21
Q22;2019;130008048;130043169;1;;;;;;1
Q22;2019;130008238;130044118;;;;1;;;1
Q22;2019;130043664;130002157;;3;;;;;3
Q22;2019;130780083;130000060;2;;;;;;2
Q22;2019;130780521;130786049;173;19;;39;;5;236
Q22;2019;130781438;130000557;1;;;1;;;2
Q22;2019;130781479;130000599;1;1;0;1;0;;3
Q22;2019;130783236;130786049;104;25;2;14;;9;154
Q22;2019;130783293;130786049;247;50;21;36;;18;372
Q22;2019;130783764;920030269;;;;9;;;9
Q22;2019;130784085;920030921;1;;;;;;1
Q22;2019;130784234;130786049;70;7;;3;;;80
Q22;2019;130784580;920030269;;;;1;;;1
Q22;2019;130784598;130001852;1;;;;;;1
Q22;2019;130784812;130001985;;;;2;;;2
Q22;2019;130785389;130002173;0;0;;;1;;1
Q22;2019;130785652;130014228;11;3;;4;;;18
Q22;2019;130786742;750821092;22;1;;26;3;8;60
Q22;2019;130786924;130037815;3;;;;;;3
Q22;2019;130789159;920030269;;;;1;;;1
Q22;2019;130804297;130786049;65;4;;3;;13;85
Q22;2019;130809015;130001928;;1;;4;;1;6
Q22;2019;130811102;130007487;1;;;;;;1
Q22;2019;140000027;140000035;27;2;;14;4;1;48
Q22;2019;140000076;140000092;4;;;1;;;5
Q22;2019;140000209;140000100;342;40;;27;;20;429
Q22;2019;140000233;140000118;5;;;;;;5
Q22;2019;140000258;140000415;2;;;;;;2
Q22;2019;140000340;140025800;1;;;;;;1
Q22;2019;140000373;140000159;;;;;;2;2
Q22;2019;140000456;140000316;15;2;;1;;4;22
Q22;2019;140000555;140000639;33;3;0;2;0;1;39
Q22;2019;140002452;140025800;1;;;4;;;5
Q22;2019;140004136;140000092;3;;;;;;3
Q22;2019;140004383;140000100;12;4;;5;;;21
Q22;2019;140012196;140000100;;;;;;1;1
Q22;2019;140017278;610787285;2;;;;;;2
Q22;2019;140024886;140000092;8;1;;3;3;;15
Q22;2019;140025255;310020383;;;;1;;;1
Q22;2019;140026410;140026279;7;;;;;3;10
Q22;2019;150000032;150780088;;;;4;;4;8
Q22;2019;150000040;150780096;16;0;0;24;18;30;88
Q22;2019;150000164;150780468;;;;2;;;2
Q22;2019;150780773;150780088;;;;;;1;1
Q22;2019;160000253;160000451;63;;;;;3;66
Q22;2019;160000311;160000485;;;;;2;;2
Q22;2019;160000345;160000501;11;;;;;1;12
Q22;2019;160009080;160001574;1;;;;;;1
Q22;2019;160015368;160014411;4;1;;;;;5
Q22;2019;170000038;170780050;;;;3;;;3
Q22;2019;170000087;170024194;55;2;;30;5;4;96
Q22;2019;170000095;170780167;;;;3;;;3
Q22;2019;170000103;170780175;22;0;0;22;0;1;45
Q22;2019;170000129;170780191;2;;;6;;3;11
Q22;2019;170000152;170780225;;;;18;4;;22
Q22;2019;170020994;170780175;4;;;;;;4
Q22;2019;170782981;170024194;5;;;2;;;7
Q22;2019;170783146;170780050;4;;;;;;4
Q22;2019;180000010;180000028;8;2;;4;1;14;29
Q22;2019;180000176;180001158;3;;;;;;3
Q22;2019;180000200;180000051;0;0;0;1;0;2;3
Q22;2019;180000283;180000069;;;;4;;;4
Q22;2019;180009490;180006496;1;;;;;;1
Q22;2019;190000018;190000042;28;2;0;17;2;1;50
Q22;2019;190000026;190000059;8;1;;8;1;1;19
Q22;2019;190000091;190000075;2;1;;1;2;1;7
Q22;2019;190002493;190000059;;;;1;;;1
Q22;2019;190005165;190002519;;;;;;1;1
Q22;2019;190011601;190000042;1;;;;;;1
Q22;2019;210003059;210987400;;;;1;;;1
Q22;2019;210012670;210011367;4;;;;;;4
Q22;2019;210013157;210780706;2;;;;;;2
Q22;2019;210780144;750721235;1;;;;;;1
Q22;2019;210780276;210003208;1;;;;;;1
Q22;2019;210780789;210003208;1;;;;;;1
Q22;2019;210986089;210780581;8;;;7;;3;18
Q22;2019;210987046;210987038;1;;;;;;1
Q22;2019;210987558;210780581;478;28;4;117;;37;664
Q22;2019;210987632;210780607;12;2;;2;;;16
Q22;2019;210987657;210012175;20;;;;4;;24
Q22;2019;210987673;210012142;1;;;;;;1
Q22;2019;210987699;210780706;3;;;2;;;5
Q22;2019;210987731;210780417;37;3;;1;;1;42
Q22;2019;220000012;220000020;49;;;25;;7;81
Q22;2019;220000095;220000046;;;;19;;1;20
Q22;2019;220000210;;1;;;;;;1
Q22;2019;220000343;220000079;0;0;0;12;0;0;12
Q22;2019;220000368;220000103;5;1;;15;;6;27
Q22;2019;220000541;220000152;;;;3;3;;6
Q22;2019;220022800;220000673;2;;1;;;;3
Q22;2019;230000820;230780041;16;2;0;0;5;0;23
Q22;2019;230000853;230780074;1;;;1;;;2
Q22;2019;230780082;750005068;3;;;;;;3
Q22;2019;230782617;920028560;1;;;;;;1
Q22;2019;240000372;240000059;0;0;0;12;0;0;12
Q22;2019;240000463;240000083;3;;;;;;3
Q22;2019;240000489;240000117;15;1;0;22;3;17;58
Q22;2019;240000687;240000448;4;;;;;;4
Q22;2019;250000023;250000015;12;2;;2;;;16
Q22;2019;250000544;250002284;;;;2;;;2
Q22;2019;250000619;250000452;5;;;;;;5
Q22;2019;250000700;250000452;;;;32;;;32
Q22;2019;250000718;250000460;9;1;;;;2;12
Q22;2019;250000759;250000569;;;;6;;;6
Q22;2019;250000882;250002839;1;;;;;;1
Q22;2019;250006954;250000015;357;29;;27;26;10;449
Q22;2019;250014008;700004096;1;;;;;;1
Q22;2019;260000013;260000021;38;1;;23;7;9;78
Q22;2019;260000120;260016910;2;;;9;;15;26
Q22;2019;260000138;260000047;11;0;0;14;2;11;38
Q22;2019;260000146;260000054;;;;1;;;1
Q22;2019;260000203;260016910;;;;;;4;4
Q22;2019;260000823;260003264;2;;;;;;2
Q22;2019;260003157;070001649;1;;;;;;1
Q22;2019;270000045;270000060;2;;;;1;;3
Q22;2019;270000359;270023724;44;;;;8;24;76
Q22;2019;270000367;270000086;1;0;0;0;0;0;1
Q22;2019;270000391;760024042;;;;1;;;1
Q22;2019;270000425;270000102;3;;;;;;3
Q22;2019;270000441;270000110;1;;;;;;1
Q22;2019;270000458;270023724;3;;;;;3;6
Q22;2019;270000573;270000219;8;;;;;5;13
Q22;2019;270000912;750814030;3;;;;;;3
Q22;2019;280000050;280000142;2;0;0;0;0;0;2
Q22;2019;280000084;280000183;8;;;6;5;38;57
Q22;2019;280000662;280500075;;;;4;;;4
Q22;2019;280502998;280000589;;;;;;3;3
Q22;2019;280504267;280000134;20;2;;15;1;31;69
Q22;2019;280506015;280001264;;;;1;;;1
Q22;2019;290000025;290020700;49;1;0;39;1;0;90
Q22;2019;290000033;290021542;18;;;23;;;41
Q22;2019;290000058;290000017;104;4;8;10;5;;131
Q22;2019;290000066;290020700;0;0;0;1;0;0;1
Q22;2019;290000173;290000041;3;;;12;;;15
Q22;2019;290000181;290000074;1;0;0;10;0;0;11
Q22;2019;290000256;290000017;;;;3;;1;4
Q22;2019;290000322;290000108;;;;1;;;1
Q22;2019;290000728;750821092;11;;;24;1;;36
Q22;2019;290000785;220020739;;;;7;;;7
Q22;2019;290000827;290000546;1;;;1;;;2
Q22;2019;290000918;290000298;7;;;1;;;8
Q22;2019;290000934;560005746;;;;8;;;8
Q22;2019;290000975;290000546;3;;;;;;3
Q22;2019;290004324;290000017;157;12;;21;15;4;209
Q22;2019;290004340;290000017;28;;;5;;;33
Q22;2019;290004365;290000017;;;;1;;;1
Q22;2019;2A0000022;2A0000014;;;;24;;2;26
Q22;2019;2B0000012;2B0000020;0;1;0;12;0;4;17
Q22;2019;2B0005664;2B0005656;3;1;;;;;4
Q22;2019;300000023;300780046;7;2;0;10;3;5;27
Q22;2019;300000031;300780053;1;;;6;0;9;16
Q22;2019;300000080;300780103;3;;;;;;3
Q22;2019;300012309;420002438;1;0;0;0;0;0;1
Q22;2019;300012358;340015171;;;;1;;;1
Q22;2019;300013745;420002438;1;;;;;;1
Q22;2019;300780152;300017985;1;;;;;;1
Q22;2019;300782117;300780038;173;10;1;48;19;30;281
Q22;2019;300782125;300780038;2;;;;;1;3
Q22;2019;300782141;300780038;;;;13;;;13
Q22;2019;300788502;300017985;1;;;;;;1
Q22;2019;310000310;310780671;;1;;9;;;10
Q22;2019;310000369;310780754;15;1;;1;;;17
Q22;2019;310013628;310786256;1;;;1;1;;3
Q22;2019;310016977;310781406;99;0;0;3;0;2;104
Q22;2019;310019351;310781406;50;0;0;0;0;6;56
Q22;2019;310021571;310021563;;;;2;;;2
Q22;2019;310022298;310781406;7;0;0;4;0;0;11
Q22;2019;310025333;310781406;40;;0;0;0;1;41
Q22;2019;310026083;310026075;;;;2;;;2
Q22;2019;310780259;310000096;;;;3;;;3
Q22;2019;310780366;310000153;1;;;;;;1
Q22;2019;310780374;310000161;;;;2;;;2
Q22;2019;310781067;310788898;10;1;;;3;;14
Q22;2019;310781422;310781562;2;;;;;;2
Q22;2019;310782339;310781406;3;0;0;0;0;0;3
Q22;2019;310782347;310789136;29;5;;;;;34
Q22;2019;310782446;;3;;;;;;3
Q22;2019;310783048;310781406;239;;;8;0;9;256
Q22;2019;310783055;310781406;170;123;23;13;0;10;339
Q22;2019;310783063;310781406;112;;0;20;0;8;140
Q22;2019;310783097;750005068;1;;;;;;1
Q22;2019;320000086;320780117;8;0;0;14;0;2;24
Q22;2019;320000094;320780125;3;0;0;0;0;0;3
Q22;2019;330000332;330780545;2;;;5;;;7
Q22;2019;330000340;330780552;27;;;;;;27
Q22;2019;330000555;330781204;4;1;;10;;;15
Q22;2019;330000571;330781220;;;;2;;1;3
Q22;2019;330000589;330027509;5;0;0;4;0;0;9
Q22;2019;330000597;330027509;;0;0;1;0;1;2
Q22;2019;330000605;330781253;38;2;0;22;0;10;72
Q22;2019;330000613;330781261;;;;1;;;1
Q22;2019;330000639;330781287;41;2;0;3;0;0;46
Q22;2019;330000647;330781295;10;1;;;;;11
Q22;2019;330000662;330781329;45;2;;;;;47
Q22;2019;330780081;330000043;1;;;;;;1
Q22;2019;330780495;330796392;1;;;;;;1
Q22;2019;330780529;330796392;;;;;;9;9
Q22;2019;330780636;330785072;2;;;;;;2
Q22;2019;330781139;330056540;4;1;;;;;5
Q22;2019;330781303;750821092;1;0;0;9;0;0;10
Q22;2019;330781337;330781196;5;4;2;6;;;17
Q22;2019;330781352;330781196;71;5;2;43;;2;123
Q22;2019;330781360;330781196;409;65;19;169;;15;677
Q22;2019;330782582;330000928;1;;;;;;1
Q22;2019;330783648;330781196;180;30;;80;;9;299
Q22;2019;330783721;330781253;4;;;;;;4
Q22;2019;330802752;330781196;7;1;0;3;;;11
Q22;2019;340000025;340022722;3;;;1;;;4
Q22;2019;340000033;340780055;27;6;;18;;11;62
Q22;2019;340000207;340780493;44;2;;;;5;51
Q22;2019;340000223;340011295;4;0;0;17;0;0;21
Q22;2019;340000231;340780535;1;;;;;;1
Q22;2019;340001064;340013028;1;;;;;;1
Q22;2019;340008275;340780477;10;;;2;1;;13
Q22;2019;340015502;340000512;4;;;;1;;5
Q22;2019;340016732;340780055;1;;;;;1;2
Q22;2019;340017839;420002438;1;;;;;;1
Q22;2019;340019090;340019082;;;;1;;;1
Q22;2019;340020445;340021559;;;;2;;;2
Q22;2019;340022979;340000306;4;1;;;;;5
Q22;2019;340780485;340780477;21;2;;;;;23
Q22;2019;340780642;340785856;8;;;4;;;12
Q22;2019;340780667;340000280;4;1;;;;;5
Q22;2019;340780766;920030269;1;;;;;;1
Q22;2019;340782036;340780477;66;16;;8;4;19;113
Q22;2019;340782085;340780477;83;;24;1;2;8;118
Q22;2019;340785161;340780477;132;23;;27;20;17;219
Q22;2019;340789981;340001866;1;;;;;;1
Q22;2019;340796093;340796069;;;;1;;;1
Q22;2019;340796663;340780477;96;8;;7;2;6;119
Q22;2019;350000063;220020739;2;;;;;;2
Q22;2019;350000121;350000303;2;;;;;;2
Q22;2019;350000139;350001137;5;;;2;;;7
Q22;2019;350000147;350000022;21;1;0;23;0;0;45
Q22;2019;350000154;350000030;;;;15;;2;17
Q22;2019;350000162;350000048;;;;8;;;8
Q22;2019;350000188;350000055;;;;10;;;10
Q22;2019;350000337;350000246;35;2;;2;;;39
Q22;2019;350000436;350002317;1;;;;;;1
Q22;2019;350000444;350048518;;;;1;;;1
Q22;2019;350000741;350005179;249;37;17;17;;9;329
Q22;2019;350002192;220020739;2;0;0;5;0;0;7
Q22;2019;350002234;750720575;2;;;;;;2
Q22;2019;350002564;350046199;4;;;;;;4
Q22;2019;350002812;350023503;20;2;;;;;22
Q22;2019;350005021;440042844;;;;2;;;2
Q22;2019;350006771;350005179;6;;;7;;;13
Q22;2019;350007084;350005179;85;;;9;;4;98
Q22;2019;350008579;350039673;1;;;;;;1
Q22;2019;350016135;350000055;;;;1;;;1
Q22;2019;350053013;350005179;;;;3;;;3
Q22;2019;360000038;360000046;1;;;;1;;2
Q22;2019;360000137;360000053;6;1;0;8;0;26;41
Q22;2019;360000160;360000053;;;;;;2;2
Q22;2019;360003149;360000053;;;;2;;;2
Q22;2019;370000374;750721334;1;;;;;;1
Q22;2019;370000499;370000481;37;2;;5;;7;51
Q22;2019;370000515;370000481;3;;;3;;;6
Q22;2019;370000531;370000606;0;0;0;11;0;0;11
Q22;2019;370000580;370000564;2;;;;;;2
Q22;2019;370000861;370000481;155;30;;9;4;6;204
Q22;2019;370000879;370000564;6;;;;;;6
Q22;2019;370000903;370000614;0;0;0;5;3;;8
Q22;2019;370000986;370000713;1;;;;;;1
Q22;2019;370001109;370002701;3;;;;;;3
Q22;2019;370001158;370004327;;;;1;;;1
Q22;2019;370004301;370000614;2;;;;;;2
Q22;2019;370004467;370000481;113;9;;7;6;11;146
Q22;2019;370005050;370000481;9;;;;;;9
Q22;2019;370009938;440052041;1;;;;;;1
Q22;2019;370013450;370002149;1;;;;;;1
Q22;2019;380000018;380780023;3;;;;;;3
Q22;2019;380000026;380780031;;;;1;;;1
