BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;INTURG;FFI;INTTOT
Q22;2019;690000245;690780432;;1;;6;;6;13
Q22;2019;690000427;750721334;;;;;;6;6
Q22;2019;690000575;690782222;2;4;1;58;0;17;82
Q22;2019;690000625;690782271;0;;;5;;7;12
Q22;2019;690000773;690782925;;4;;6;;;10
Q22;2019;690000880;690783220;48;4;;;;;52
Q22;2019;690007539;690781810;129;8;;13;;14;164
Q22;2019;690019849;690781810;2;;;;;2;4
Q22;2019;690022959;690000732;1;;;;;;1
Q22;2019;690023239;690000146;2;;;;;;2
Q22;2019;690023411;690000252;10;;;;;;10
Q22;2019;690041124;690000724;6;;;;;;6
Q22;2019;690041132;690006598;6;;;;;6;12
Q22;2019;690780093;750821092;5;;;3;;;8
Q22;2019;690780549;920030269;1;;;;;3;4
Q22;2019;690780648;690036900;4;;;;;;4
Q22;2019;690781745;690000542;1;;;;;;1
Q22;2019;690782081;750005068;1;;;;;;1
Q22;2019;690783154;690781810;172;8;19;11;;9;219
Q22;2019;690784137;690781810;165;17;1;10;;23;216
Q22;2019;690784152;690781810;132;26;;15;;8;181
Q22;2019;690784178;690781810;45;1;;1;;15;62
Q22;2019;690784186;690781810;54;8;;3;;11;76
Q22;2019;690784194;690781810;4;2;;5;;;11
Q22;2019;690784202;690781810;10;;;;;;10
Q22;2019;690787429;690781810;1;;;;;;1
Q22;2019;690787478;690781810;1;1;;;;;2
Q22;2019;690796727;;14;;;1;;;15
Q22;2019;690805361;690805353;37;3;0;12;2;3;57
Q22;2019;700000011;700780026;;;;2;2;;4
Q22;2019;700000029;700004591;22;;;17;1;5;45
Q22;2019;700780042;250006335;1;;;;;;1
Q22;2019;700780059;700004591;;;;;;1;1
Q22;2019;700780075;700004096;6;;;;;8;14
Q22;2019;700780208;700004591;;;;;;1;1
Q22;2019;710002569;710000092;;;;1;;;1
Q22;2019;710006859;710000118;2;;;;;;2
Q22;2019;710010067;710780644;3;;;14;;3;20
Q22;2019;710010786;710781451;;;;8;;;8
Q22;2019;710014317;710001843;1;;;;;;1
Q22;2019;710014820;710012915;1;;;;;;1
Q22;2019;710780917;710000274;;;;5;;;5
Q22;2019;710781535;210010294;;;;1;;;1
Q22;2019;710781824;710000464;1;;;;;;1
Q22;2019;710978180;710781360;;;;2;;;2
Q22;2019;710978214;710781345;;;;1;;;1
Q22;2019;710978230;710781329;11;;;;;;11
Q22;2019;710978263;710780958;39;1;0;9;5;0;54
Q22;2019;710978271;710781014;;;;1;;;1
Q22;2019;710978289;710780263;38;1;0;7;6;1;53
Q22;2019;710978313;710976705;5;;;;1;;6
Q22;2019;710978347;570010181;;;;5;5;;10
Q22;2019;720000033;720000025;101;3;;43;21;3;171
Q22;2019;720000041;720000058;8;;;;;1;9
Q22;2019;720000249;720000645;1;;;1;;;2
Q22;2019;720000413;720008390;1;;;;;;1
Q22;2019;720000470;610780082;;;;2;;2;4
Q22;2019;720000744;720000454;3;;;1;;2;6
Q22;2019;720016179;720016724;;;;10;;;10
Q22;2019;720018100;750720575;1;;;;;;1
Q22;2019;730000031;730000015;46;3;1;45;3;22;120
Q22;2019;730000080;730780103;2;;;;2;;4
Q22;2019;730000098;730000015;;2;;2;2;;6
Q22;2019;730000262;730002839;11;;;;;;11
Q22;2019;730000304;730780582;6;0;0;0;0;0;6
Q22;2019;730783552;730000015;1;;;1;;;2
Q22;2019;730783644;730000015;2;0;0;2;0;0;4
Q22;2019;740000237;740781133;56;;;29;;12;97
Q22;2019;740000294;740781208;;;;1;;;1
Q22;2019;740000302;740781133;;;;5;;;5
Q22;2019;740000328;740790381;1;1;;5;;;7
Q22;2019;740013412;740781133;1;;;;;;1
Q22;2019;740781026;740000211;1;;;;;;1
Q22;2019;740781141;740790258;15;2;;25;;16;58
Q22;2019;740781224;740001839;4;;;22;;1;27
Q22;2019;750000481;750110025;27;1;;1;;4;33
Q22;2019;750000499;750062036;95;5;0;19;0;10;129
Q22;2019;750000507;750058844;2;;;;;;2
Q22;2019;750000523;750150120;85;5;;;8;27;125
Q22;2019;750000549;750150229;76;2;;;;14;92
Q22;2019;750006538;940016819;8;0;0;0;0;0;8
Q22;2019;750007668;750719270;3;;;;;;3
Q22;2019;750039448;750720914;4;;;;;3;7
Q22;2019;750041543;750712184;3;0;21;2;1;2;29
Q22;2019;750052037;;1;;;;;;1
Q22;2019;750055287;750806853;1;;;;;2;3
Q22;2019;750057028;750005068;1;;;;;;1
Q22;2019;750100018;750712184;19;3;0;11;0;4;37
Q22;2019;750100042;750712184;137;16;1;35;5;19;213
Q22;2019;750100075;750712184;129;19;0;8;1;29;186
Q22;2019;750100083;750712184;12;2;5;9;0;1;29
Q22;2019;750100091;750712184;126;12;0;23;6;16;183
Q22;2019;750100109;750712184;92;5;0;16;5;12;130
Q22;2019;750100125;750712184;302;26;27;27;7;64;453
Q22;2019;750100166;750712184;204;21;0;20;3;44;292
Q22;2019;750100208;750712184;185;21;1;12;5;32;256
Q22;2019;750100232;750712184;279;26;0;28;5;39;377
Q22;2019;750100273;750712184;92;11;0;15;1;12;131
Q22;2019;750100299;750712184;4;0;0;4;1;1;10
Q22;2019;750150013;750811887;6;;;;;3;9
Q22;2019;750150104;750720476;44;3;;;;15;62
Q22;2019;750150146;750720609;3;;;;;8;11
Q22;2019;750150187;750000143;1;;;1;;;2
Q22;2019;750150237;750006728;31;;;;;9;40
Q22;2019;750150260;750006728;;;;2;;;2
Q22;2019;750150344;750720468;;;;3;;;3
Q22;2019;750160012;750813321;52;3;;;;1;56
Q22;2019;750170102;750721391;3;;;;;;3
Q22;2019;750300097;750813305;3;;;;;;3
Q22;2019;750301160;750001067;4;;;;;;4
Q22;2019;750801441;750712184;7;0;0;7;4;1;19
Q22;2019;750803447;750712184;168;15;0;16;2;41;242
Q22;2019;750803454;750712184;121;18;0;13;3;17;172
Q22;2019;760000018;760780023;23;2;;37;;12;74
Q22;2019;760000133;760780213;;;;1;;;1
Q22;2019;760000141;760780239;9;;;7;;2;18
Q22;2019;760000158;760780239;461;43;;149;;19;672
Q22;2019;760000166;760780247;39;4;;;;2;45
Q22;2019;760000174;760780254;0;1;0;0;0;0;1
Q22;2019;760000182;760780262;11;;;;;;11
Q22;2019;760000190;760780270;51;;;;;5;56
Q22;2019;760000356;760780726;5;;2;1;;2;10
Q22;2019;760000364;760780734;1;0;0;9;0;3;13
Q22;2019;760000372;760780742;2;;;3;4;;9
Q22;2019;760000463;760024042;28;4;;25;;6;63
Q22;2019;760000620;760782227;1;1;;;;1;3
Q22;2019;760021329;760000448;1;;;;;;1
Q22;2019;760028985;760012039;1;;;;;;1
Q22;2019;760028993;760921429;1;;;;;;1
Q22;2019;760780692;760025734;7;;;;;;7
Q22;2019;760781070;760780726;9;;;;;6;15
Q22;2019;760783522;760780239;15;1;;4;;;20
Q22;2019;760783530;760780239;;;;2;;;2
Q22;2019;760805770;760780726;74;2;;19;;21;116
Q22;2019;770000131;770021145;2;;;11;;8;21
Q22;2019;770000149;770021152;;;;0;7;12;19
Q22;2019;770000156;770110054;5;0;0;23;13;37;78
Q22;2019;770000164;770021152;10;;;0;;1;11
Q22;2019;770000172;770110070;4;;;2;2;;8
Q22;2019;770000446;770021145;16;;;13;0;45;74
Q22;2019;770019032;770021145;22;;;14;;40;76
Q22;2019;770020949;770015030;1;;;;;;1
Q22;2019;780000287;780110011;4;;;10;;38;52
Q22;2019;780000295;780002697;11;;;8;;;19
Q22;2019;780000311;780001236;50;1;;9;;50;110
Q22;2019;780000329;780110052;0;0;0;11;0;14;25
Q22;2019;780000337;780001236;6;2;;2;;5;15
Q22;2019;780000378;780130027;;;;1;;;1
Q22;2019;780000402;780024113;0;0;0;4;0;5;9
Q22;2019;780000410;780140059;1;;;;;1;2
Q22;2019;780001657;780530010;;;;;;1;1
Q22;2019;780140018;750005068;3;;;1;;;4
Q22;2019;780150066;780808614;4;;;;;;4
Q22;2019;780300323;780003679;1;;;;;;1
Q22;2019;780800256;780110078;95;3;;20;11;15;144
Q22;2019;790000087;790000012;45;0;0;28;5;7;85
Q22;2019;790000111;790019491;;;;1;;;1
Q22;2019;790019848;790006654;;;;;;12;12
Q22;2019;800000143;800000028;15;1;0;14;0;8;38
Q22;2019;800000184;800000036;;;;1;;;1
Q22;2019;800000192;800000044;49;;;9;;;58
Q22;2019;800000200;800000051;5;;;1;;;6
Q22;2019;800000226;800000069;;1;;9;;;10
Q22;2019;800000390;800000085;;;;3;4;;7
Q22;2019;800000432;800000093;;;;5;;;5
Q22;2019;800000457;800000119;10;1;0;1;0;2;14
Q22;2019;800006124;800000044;298;41;;13;;13;365
Q22;2019;800016768;800003071;0;;;1;;;1
Q22;2019;800016776;800000085;;;;1;;;1
Q22;2019;810000505;810000331;16;0;0;6;0;4;26
Q22;2019;810000521;810000380;13;;;14;3;3;33
Q22;2019;810000562;810000455;3;;;;3;;6
Q22;2019;810100008;;4;;;;;;4
Q22;2019;820000032;820000016;21;;;4;11;3;39
Q22;2019;830000279;830100517;0;0;0;9;0;0;9
Q22;2019;830000287;830100525;0;0;0;11;0;0;11
Q22;2019;830000295;830100533;;1;;7;7;1;16
Q22;2019;830000311;830100566;5;;;13;;11;29
Q22;2019;830000337;830100590;;;;3;;;3
Q22;2019;830000345;830100616;44;;;26;;17;87
Q22;2019;830000600;830101200;3;0;0;0;0;0;3
Q22;2019;830100558;690781810;1;;;;;4;5
Q22;2019;830100574;750821092;25;;;39;1;;65
Q22;2019;830100582;750721334;1;;;;;;1
Q22;2019;830100608;830100616;2;;;2;;2;6
Q22;2019;830202743;830100616;1;;;;;;1
Q22;2019;830206298;830100517;;0;0;1;0;0;1
Q22;2019;840000343;840000012;;;;;;3;3
Q22;2019;840000350;840000657;0;2;0;0;0;0;2
Q22;2019;840000392;840000046;;;;2;;5;7
Q22;2019;840000418;840004659;;;;2;3;;5
Q22;2019;840000483;840000087;;;;5;;2;7
Q22;2019;840000491;130041916;;;;2;;;2
Q22;2019;840001861;840006597;16;0;0;38;0;38;92
Q22;2019;850000118;850013244;;;;1;;;1
Q22;2019;850000142;850000019;45;3;;34;14;;96
Q22;2019;850000175;850009010;3;1;0;14;0;0;18
Q22;2019;850000191;850000043;0;0;0;1;0;;1
Q22;2019;850000209;850000019;;;;4;1;;5
Q22;2019;850000225;850000019;;;;5;;;5
Q22;2019;850000241;850000084;;;;17;;;17
Q22;2019;850000258;850000092;4;;;2;;2;8
Q22;2019;850009630;850000035;0;0;0;12;;0;12
Q22;2019;860000017;860780048;32;;;;;;32
Q22;2019;860000025;860013382;3;1;0;9;1;0;14
Q22;2019;860000033;860013382;;;;;;1;1
Q22;2019;860000058;860014208;;;;1;;;1
Q22;2019;860000223;860014208;305;33;;46;17;3;404
Q22;2019;870000064;870000015;187;38;1;6;8;8;248
Q22;2019;870000098;870000023;4;1;;1;4;3;13
Q22;2019;870000270;870000031;;;;2;;2;4
Q22;2019;870000288;870017415;2;;;;;;2
Q22;2019;870000551;870014503;;;;1;;;1
Q22;2019;870000601;870014248;0;;;1;;;1
Q22;2019;870001567;870014503;;;;1;;;1
Q22;2019;870003514;870000015;5;0;0;1;0;0;6
Q22;2019;870006137;870002466;26;;;1;;1;28
Q22;2019;870014859;870000015;27;1;0;11;1;1;41
Q22;2019;880000021;880007059;26;;;17;1;1;45
Q22;2019;880000047;880780077;3;;;5;3;3;14
Q22;2019;880000054;880007299;;1;;6;;2;9
Q22;2019;880000062;880780093;3;0;0;15;0;3;21
Q22;2019;880000088;880780119;6;;;;;;6
Q22;2019;880006663;880007059;2;;;;;;2
Q22;2019;890008956;890001738;1;;;;;;1
Q22;2019;890975519;890000052;4;;;;;3;7
Q22;2019;890975527;890000037;14;;;6;3;6;29
Q22;2019;890975535;890000409;;;;3;;;3
Q22;2019;890975543;890000417;1;;;;2;0;3
Q22;2019;890975550;890970569;;;;3;;36;39
Q22;2019;900002429;700004096;4;;;;;1;5
Q22;2019;900003039;900000365;47;2;0;28;5;26;108
Q22;2019;910000272;910110014;5;;;;;11;16
Q22;2019;910000280;910019447;;;;6;;;6
Q22;2019;910000298;910110055;4;;;10;10;42;66
Q22;2019;910000306;910110055;7;;;8;4;13;32
Q22;2019;910000314;910002773;;;;;7;;7
Q22;2019;910000330;910140029;3;;;1;;9;13
Q22;2019;910001973;910019447;;;;12;;3;15
Q22;2019;910018423;910110055;;;;;5;6;11
Q22;2019;910020254;910002773;106;1;;;2;75;184
Q22;2019;910110071;910110055;;;;;;4;4
Q22;2019;910140037;750720914;5;;;;;1;6
Q22;2019;910150028;750811184;;;;;;3;3
Q22;2019;910300011;910000348;2;;;;;;2
Q22;2019;910300219;910003888;4;;;;;;4
Q22;2019;910310028;920030269;1;;;;;;1
Q22;2019;910803543;910017615;4;;;;;;4
Q22;2019;920000460;750813321;23;3;;;;2;28
Q22;2019;920000569;920026374;;;;;;6;6
Q22;2019;920000577;920110020;2;0;1;7;2;12;24
Q22;2019;920000585;920026374;9;;;10;;8;27
Q22;2019;920000619;920009909;7;;;;;1;8
Q22;2019;920000643;920032505;4;;;14;;2;20
Q22;2019;920000650;920150059;117;14;;;;15;146
Q22;2019;920000684;920150091;16;3;;;;;19
Q22;2019;920002177;920804465;9;;;1;;;10
Q22;2019;920007408;950140012;0;0;0;2;0;0;2
Q22;2019;920007549;920007499;1;;;;;;1
Q22;2019;920027711;940140049;6;;;;;3;9
Q22;2019;920100013;750712184;77;7;0;20;3;9;116
Q22;2019;920100021;750712184;49;6;0;17;7;19;98
Q22;2019;920100039;750712184;144;14;0;24;8;44;234
Q22;2019;920100047;750712184;47;2;4;24;2;22;101
Q22;2019;920100054;750712184;29;1;0;1;6;10;47
Q22;2019;920100062;750712184;17;0;0;5;1;3;26
Q22;2019;920120011;750821092;16;5;0;0;13;1;35
Q22;2019;920140019;750005068;1;0;;;;;1
Q22;2019;920140027;750720575;4;;;;;;4
Q22;2019;920170115;920718053;1;;;;;;1
Q22;2019;920300043;920001526;8;1;;3;;;12
Q22;2019;920300191;920000767;1;;;;;;1
Q22;2019;920300365;920815388;2;0;0;0;0;;2
Q22;2019;920300753;920810736;4;;;;;;4
Q22;2019;920300787;920000981;;;;10;;;10
Q22;2019;920811635;780140059;1;;;;;2;3
Q22;2019;930000286;930021480;28;0;0;13;0;48;89
Q22;2019;930000294;930021480;1;;;;;2;3
Q22;2019;930000302;930110036;60;1;;;;17;78
Q22;2019;930000328;930110051;44;2;;39;4;36;125
Q22;2019;930000336;930110069;39;4;;39;16;22;120
Q22;2019;930000344;930140025;19;;;2;;19;40
Q22;2019;930001433;930110051;2;;;;;;2
Q22;2019;930006648;750721235;1;;;;;;1
Q22;2019;930015458;930003975;1;;;;;;1
Q22;2019;930100011;750712184;1;0;0;2;0;0;3
Q22;2019;930100037;750712184;68;7;0;15;9;32;131
Q22;2019;930100045;750712184;19;2;0;19;6;14;60
Q22;2019;930706239;930110051;;;;5;;;5
Q22;2019;940000573;940110018;76;3;0;22;0;28;129
Q22;2019;940000599;940110042;26;0;0;20;5;53;104
Q22;2019;940000607;940140015;8;0;0;0;0;0;8
Q22;2019;940000615;940140023;6;;;;;4;10
Q22;2019;940000631;940140049;18;4;0;3;0;3;28
Q22;2019;940000649;940150014;25;;;;7;12;44
Q22;2019;940000656;940160013;1;;;;;;1
Q22;2019;940000664;940160013;76;8;;;;32;116
Q22;2019;940006679;940017338;1;;;;;;1
Q22;2019;940016868;940016819;21;0;0;0;0;5;26
Q22;2019;940021157;750005068;1;;;;;;1
Q22;2019;940100027;750712184;177;10;7;23;8;65;290
Q22;2019;940100035;750712184;7;0;6;8;2;1;24
Q22;2019;940100043;750712184;349;36;2;46;8;84;525
Q22;2019;940100050;750712184;2;0;0;3;0;0;5
Q22;2019;940100068;750712184;21;3;0;1;1;14;40
Q22;2019;940120017;750821092;12;2;;13;;;27
Q22;2019;940300270;940000771;1;;;;;;1
Q22;2019;940300445;940000854;5;;;;;;5
Q22;2019;940700032;940001027;2;;;;;;2
Q22;2019;940700040;570010181;1;;;;;;1
Q22;2019;940806490;750810798;2;0;0;0;0;0;2
Q22;2019;950000307;950110015;40;4;;32;4;28;108
Q22;2019;950000315;950001370;;;;13;1;1;15
Q22;2019;950000323;950013870;18;;;25;;59;102
Q22;2019;950000331;950110049;13;0;0;28;5;50;96
Q22;2019;950000349;950015289;;;;3;;;3
Q22;2019;950000364;950110080;27;0;0;9;5;60;101
Q22;2019;950000398;950140012;0;0;0;1;0;0;1
Q22;2019;950002568;920030269;1;;;;;;1
Q22;2019;950630012;750721334;;;;;;1;1
Q22;2019;950806166;950001453;1;;;;;;1
Q22;2019;970100020;970100152;;;;2;;;2
Q22;2019;970100111;970100343;2;;;;;;2
Q22;2019;970100392;970100178;4;0;0;23;0;7;34
Q22;2019;970100400;970100186;0;0;0;2;0;2;4
Q22;2019;970100418;970100194;0;0;0;0;0;1;1
Q22;2019;970100442;970100228;150;;;86;3;40;279
Q22;2019;970100475;970100277;8;;;;;1;9
Q22;2019;970100483;970100285;4;1;1;5;;2;13
Q22;2019;970102596;970100491;2;;;;;;2
Q22;2019;970200028;970208906;1;;;;;;1
Q22;2019;970200044;970202164;;;;;;1;1
Q22;2019;970200069;970202180;0;0;0;7;0;0;7
Q22;2019;970211165;970211157;6;;;;;3;9
Q22;2019;970211173;970211157;;;;;;1;1
Q22;2019;970211215;970211207;263;;;;;;263
Q22;2019;970211223;970211207;13;;;;;;13
Q22;2019;970211231;970211207;8;;;;;6;14
Q22;2019;970211249;970211207;6;;;;;2;8
Q22;2019;970211256;970211207;44;;;;;;44
Q22;2019;970300026;970302022;23;0;0;40;0;8;71
Q22;2019;970300083;970302121;0;0;0;9;8;0;17
Q22;2019;970305637;970305629;;;;;;1;1
Q22;2019;970400016;970411005;5;;;1;;;6
Q22;2019;970400024;970408589;103;0;0;49;3;3;158
Q22;2019;970400057;970408589;153;0;0;113;0;3;269
Q22;2019;970400065;970421038;16;0;0;26;0;0;42
Q22;2019;970400073;970403606;0;0;0;23;0;0;23
Q22;2019;970400081;970408589;1;0;0;2;0;0;3
Q22;2019;970400180;970408589;2;0;0;5;0;0;7
Q22;2019;970404588;970404539;;;;2;;;2
Q22;2019;970423000;970430906;;;;6;;3;9
Q22;2019;970463139;970408589;1;0;0;0;0;0;1
Q22;2019;980500011;980500003;18;;;11;12;15;56
